VARIABLE,DESCRIPTION,LABELS
,,
caseid,Respondent ID Variable,
government_should_regulate_businesses_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Government regulation of business is necessary to protect the public interest""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
racial_discrimination_hurts_black_people_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Racial discrimination is the main reason why many black people can’t get ahead these days""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
immigrants_strengthen_country_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Immigrants today strengthen our country because of their hard work and talents.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
corporations_make_too_much_profit_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Business corporations make too much profit.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
homosexuality_should_be_accepted_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Homosexuality should be accepted by society.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
stricter_environmental_laws_damaging_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Stricter environmental laws and regulations cost too many jobs and hurt the economy.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
government_wasteful_inefficient_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Government is almost always wasteful and inefficient.”""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
poor_people_have_it_easy_wave_1,"Respondents answer to the following question during wave 1 of the study: ""Poor people today have it easy because they can get government benefits without doing anything in return.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
government_cannot_afford_to_help_needy_wave_1,"Respondents answer to the following question during wave 1 of the study: ""The government today can’t afford to do much more to help the needy.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
best_way_peace_military_strength_wave_1,"Respondents answer to the following question during wave 1 of the study: ""The best way to ensure peace is through military strength.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
government_should_regulate_businesses_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Government regulation of business is necessary to protect the public interest""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
racial_discrimination_hurts_black_people_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Racial discrimination is the main reason why many black people can’t get ahead these days""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
immigrants_strengthen_country_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Immigrants today strengthen our country because of their hard work and talents.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
corporations_make_too_much_profit_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Business corporations make too much profit.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
homosexuality_should_be_accepted_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Homosexuality should be accepted by society.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
stricter_environmental_laws_damaging_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Stricter environmental laws and regulations cost too many jobs and hurt the economy.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
government_wasteful_inefficient_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Government is almost always wasteful and inefficient.”""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
poor_people_have_it_easy_wave_5,"Respondents answer to the following question during wave 5 of the study: ""Poor people today have it easy because they can get government benefits without doing anything in return.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
government_cannot_afford_to_help_needy_wave_5,"Respondents answer to the following question during wave 5 of the study: ""The government today can’t afford to do much more to help the needy.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
best_way_peace_military_strength_wave_5,"Respondents answer to the following question during wave 5 of the study: ""The best way to ensure peace is through military strength.""",1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly Agree
treat,Treatment assignment indicator,
bot_followers,Binary variable that describes whether respondent followed the bot for the entire study period,
substantive_question_correct_wave_2,Binary variable that describes whether respondent answered substantive question about content of bot's tweets correctly during first compliance check,
substantive_question_correct_wave_3,Binary variable that describes whether respondent answered substantive question about content of bot's tweets correctly during second compliance check,
substantive_question_correct_wave_4,Binary variable that describes whether respondent answered substantive question about content of bot's tweets correctly during third compliance check,
animal_correct_wave_2,Binary variable that describes whether respondent correctly identified picture of animal tweeted by bot each day (first compliance check),
animal_correct_wave_3,Binary variable that describes whether respondent correctly identified picture of animal tweeted by bot each day (second compliance check),
animal_correct_wave_4,Binary variable that describes whether respondent correctly identified picture of animal tweeted by bot each day (third compliance check),
party_id_wave_1,Respondent's party identification,1=Democrat; 2=Republican
party_id_weak_strong_wave_1,Respondent's party identification by strength of identification,1=Strong Democrat; 2=Weak Democrat; 6 Weak Republican; 7=Strong Republican
political_wave_1,Respondent's overall level of interest in the news,
freq_twitter_wave_1,Respondent's frequency of Twitter usage,
bin_maker,Factor variable used to define block randomization,
percent_co_party,Percent of people respondent follows who share respondent's political identification ,
ideo_homogeneity_offline,Respondent's estimate of percentage of people who they interact with on a daily basis who share their political identification,
friends_count_wave_1,Total number of accounts followed by respondent on Twitter,
gender,Gender,1=Male; 2=Female
education,Respondent's educational attainment,1=No High School; 2=High School Graduate; 3=Some College; 4= 2-year; 5=4-year; 6=Post-grad
family_income,Total family income,"1=Less than $10,000; 2=$10,000-$19,999; 3=$20,000-$29,999;4=$30,000-$39,999;5=$40,000-$49,999;6=$50,000-$59,999;7=$60,000-$69,999;8=$70,000-$79,999;9=$80,000-$99,999;10=$100,000-$119,999;11=$120,000-$149,999; 12-$150,000-$199,999;13=$200,000-$249,999; 14=$250,000-$349,999;15=$350,000-$499,999; 16=$500,000 or more;"
birth_year,Respondent's birth year,
northeast,Binary variable that describes whether respondent is located in Northeastern United States,
north_central,Binary variable that describes whether respondent is located in North-Central United States,
south,Binary variable that describes whether respondent is located in Southern United States,
west,Binary variable that describes whether respondent is located in Western United States,
endtime_wave_5,Time final interview wave completed (for measuring attrition),
how_often_visit_twitter_wave_1,Respondent's self reported Twitter usage wave 1,
how_often_visit_twitter_wave_5,Respondent's self reported Twitter usage wave 5,
ideology_seven_point_wave_1,Respondent's self reported liberal/conservative placement,
ideology_seven_point_wave_5,Respondent's self reported liberal/conservative placement,
